deviceID,350037000547373336373936
timestamp_iso,box_temp,manifold_temp,manifold_rh,pressure,dew_point,noise,solar,wind_dir,wind_speed,co2,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,ox_we,ox_ae,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MtoF,bin3MToF,bin5MToF,bin7MToF,flowrate,sample_period,pm1,pm25,pm10,laser_status,flag,lat,lon,alt,uncertainty
06/17/2026 04:40:55,32.20,31.85,37.02,79568.00,15.37,3.00,0.00,58.65,0.00,749.27,658.65,581.52,722.02,702.90,1883.31,1882.43,1885.18,1891.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:41:05,32.30,31.85,37.02,79575.00,15.37,3.00,0.00,58.87,0.00,752.40,659.65,581.02,722.40,703.65,1883.68,1882.81,1885.43,1891.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:41:15,32.20,31.84,37.02,79571.00,15.36,3.00,0.00,61.06,0.00,748.77,659.77,581.77,720.52,701.52,1883.68,1882.93,1885.43,1891.06,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:41:25,32.30,31.84,37.02,79584.00,15.36,3.00,0.00,62.81,0.00,750.52,659.65,581.27,722.27,702.65,1883.68,1882.31,1885.43,1891.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:41:35,32.30,31.84,37.02,79584.00,15.36,3.00,0.00,58.43,0.00,749.27,659.27,582.02,722.40,703.40,1883.56,1882.06,1885.43,1891.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:41:45,32.20,31.84,37.02,79568.00,15.36,3.00,0.00,58.87,0.00,752.90,658.77,581.39,720.90,701.90,1883.18,1882.43,1885.31,1891.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,55,2,0.000000,0.000000,0,0
06/17/2026 04:41:55,32.20,31.84,37.02,79568.00,15.36,3.00,0.00,58.87,0.00,750.77,658.27,581.27,721.52,702.77,1883.18,1882.18,1885.68,1891.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:42:05,32.20,31.84,37.02,79565.00,15.36,3.00,0.00,58.43,0.00,749.77,658.65,581.02,722.40,703.27,1883.43,1882.31,1885.43,1891.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:42:15,32.20,31.84,37.02,79571.00,15.36,3.00,0.00,58.87,0.00,753.40,659.15,579.02,720.65,701.52,1883.31,1882.06,1885.31,1891.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
06/17/2026 04:42:25,32.20,31.84,37.02,79565.00,15.36,3.00,0.00,61.28,0.00,753.15,658.65,580.52,721.52,702.52,1883.56,1882.31,1885.68,1891.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,2,0.000000,0.000000,0,0
